Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Thu, 03 Aug 2023 19:56:49 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1990-0720-FRA,1990,0720,,Natural,Meteorological,Storm,,,Nana,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2,11,1990,2,12,,,,,,,,30000,67195,60000,134391,44.64587744,,,,
1990-0721-FRA,1990,0721,,Natural,Meteorological,Storm,,,Ottilie and Polly,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2,13,1990,2,15,,,,,,,,30000,67195,60000,134391,44.64587744,,,,
1990-0722-FRA,1990,0722,,Natural,Meteorological,Storm,,,Vivian,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2,25,1990,2,27,10,,,,,,,100000,223985,200000,447970,44.64587744,,,,
1990-0723-FRA,1990,0723,,Natural,Meteorological,Storm,,,Wiebke,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1990,2,28,1990,3,1,10,,,,,,,120000,268782,230000,515165,44.64587744,,,,
1991-9316-FRA,1991,9316,,Natural,Climatological,Drought,Drought,,,France,FRA,Western Europe,Europe,"Limousin, Poitou-Charente, Aquitaine, Midi Pyrenees, Normandie",,Wildfire,,,,,,,Km2,,,,,1991,7,,1991,,,,,,,,,,,,,,46.53662061,,,,
1991-0020-FRA,1991,0020,,Natural,Meteorological,Extreme temperature,Cold wave,,,France,FRA,Western Europe,Europe,,,,,,,,,,°C,,,,,1991,2,,1991,2,,20,,,,,,,,,,,46.53662061,,,,
1991-0497-FRA,1991,0497,,Natural,Meteorological,Extreme temperature,Cold wave,,,France,FRA,Western Europe,Europe,"Champagne, Cognac, Provence, Touraine, Bordeaux",,,,,No,No,,,°C,,,,,1991,4,20,1991,4,21,,,,,,,,,,772000,1658909,46.53662061,,,,
1992-0251-FRA,1992,0251,,Natural,Meteorological,Storm,Convective storm,Severe storm,,France,FRA,Western Europe,Europe,"Vaucluse, Drome, Ardeche",Brief torrential rains,,,,No,No,,,Kph,,,,,1992,9,22,1992,9,22,47,,2000,,2000,,,178300,371876,400000,834270,47.94612964,,,,
1992-0371-FRA,1992,0371,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,"Aude, Pyrennes-Orientales",Heavy rain,,,,No,No,,,Km2,,,,,1992,9,27,1992,9,27,3,,,,,,,,,,,47.94612964,,,,
1992-0359-FRA,1992,0359,,Natural,Biological,Epidemic,Bacterial disease,,Listeria,France,FRA,Western Europe,Europe,,,,,,,,,,Vaccinated,,,,,1992,4,,1992,4,,20,,,,,,,,,,,47.94612964,,,,
1992-0171-FRA,1992,0171,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,South,,,,,,,,,Kph,,,,,1992,1,22,1992,1,22,1,,,,,,,74200,154757,,,47.94612964,,,,
1993-0065-FRA,1993,0065,,Natural,Meteorological,Storm,Convective storm,Hail,,France,FRA,Western Europe,Europe,South West - Saonne et Loire,,Hail,,,No,No,,,Kph,,,,,1993,7,5,1993,7,6,2,18,1500,,1518,,,40000,81035,50000,101294,49.36133216,,,,
1993-0211-FRA,1993,0211,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,"Alps, Vaucluse, Drome",,Flood,,,No,No,,,Kph,,,,,1993,9,22,1993,9,25,10,2,200,,202,,,340000,688798,500000,1012939,49.36133216,,,,
1993-0237-FRA,1993,0237,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,,,,,,No,No,,,Km2,,,,,1993,12,20,1993,12,31,4,,,,,,,350000,709057,600000,1215526,49.36133216,,,,
1994-0048-FRA,1994,0048,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,Camargue,,,,,No,No,,70,Km2,,,,,1994,1,7,1994,1,12,10,,210,,210,,,,,5000,9872,50.64840266,,,,
1994-0145-FRA,1994,0145,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,Nice,,,,,,,,,Km2,,,,,1994,6,27,1994,6,27,,,200,,200,,,,,,,50.64840266,,,,
1994-0556-FRA,1994,0556,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,"Lozere, Guard, Herault",,,,,,,,,Km2,,,,,1994,11,5,1994,11,5,3,,,,,,,,,95000,187568,50.64840266,,,,
1995-0007-FRA,1995,0007,,Natural,Meteorological,Storm,,,"Thaila, Urania, Valeska, Wilma",France,FRA,Western Europe,Europe,"Basse-Normandie, Champagne-Ardennes, Bretagne, Pays de Loire, Ile-de-France","Heavy rains, melting snow",Flood,,,No,No,,,Kph,,,,Villaine,1995,1,21,1995,2,2,16,,5000,,5000,,,570000,1094695,700000,1344362,52.06929869,,,,
1996-0016-FRA,1996,0016,,Natural,Hydrological,Flood,Flash flood,,,France,FRA,Western Europe,Europe,"Beziers, Puisserguier, Cassenon, Agde, Serignan, Puissalicon, Magalas (Herault Department, Languedoc-Roussillon province)",Heavy rains,,,,No,No,,2140,Km2,,,,"Orb, Libron, Herault",1996,1,27,1996,1,30,4,,600,,600,,,,,6000,11195,53.59556085,,,,
1996-0252-FRA,1996,0252,,Natural,Meteorological,Storm,Tropical cyclone,,Lilli,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1996,10,27,1996,10,30,1,,,,,,,,,10,19,53.59556085,,,,
1996-0004-FRA,1996,0004,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,"Villeneuve-Loubet, Grasse (Alpes Maritimes)",,,,,No,No,,,Km2,,,,,1996,1,3,1996,1,3,,,780,,780,,,,,,,53.59556085,,,,
1997-0006-FRA,1997,0006,,Natural,Meteorological,Extreme temperature,Cold wave,,,France,FRA,Western Europe,Europe,South,,,,,,,,,°C,,,,,1997,1,4,1997,1,4,23,,10000,,10000,,,,,,,54.84845417,,,,
1997-0159-FRA,1997,0159,,Natural,Climatological,Wildfire,Forest fire,,,France,FRA,Western Europe,Europe,Near Marseille,,,,,,,,3000,Km2,,,,,1997,7,26,1997,7,26,,9,1250,,1259,,,,,,,54.84845417,,,,
1997-9105-FRA,1997,9105,,Natural,Climatological,Drought,Drought,,,France,FRA,Western Europe,Europe,,,,,,No,No,,,Km2,,,,,1997,4,,1997,,,,,,,,,,,,10000,18232,54.84845417,,,,
1998-0038-FRA,1998,0038,,Natural,Hydrological,Landslide,Avalanche,,,France,FRA,Western Europe,Europe,Alps,,,,,,,,,,,,,,1998,1,24,1998,1,24,9,21,,,21,,,,,,,55.69986281,,,,
1998-0436-FRA,1998,0436,,Natural,Meteorological,Storm,Extra-tropical storm,,"Cilly, Desiree, Fanny",France,FRA,Western Europe,Europe,"Bretagne, Ouest de la France",,,,,No,No,,150,Kph,,,,,1998,1,1,1998,1,6,6,,690,,690,,,130000,233394,150000,269300,55.69986281,,,,
1999-0450-FRA,1999,0450,,Natural,Hydrological,Flood,Flash flood,,,France,FRA,Western Europe,Europe,"Aude, Tarn, Herault, Pyrenees-Orientales",Brief torrential rain,"Slide (land, mud, snow, rock)",,,No,No,,,Km2,,,,,1999,11,12,1999,11,15,36,5,3000,,3005,,,382000,671134,500000,878448,56.91858704,,,,
1999-0571-FRA,1999,0571,,Natural,Meteorological,Storm,Extra-tropical storm,,Lothar,France,FRA,Western Europe,Europe,"South-Western, Western",,"Slide (land, mud, snow, rock)",,,No,No,,200,Kph,,,,,1999,12,26,1999,12,28,88,11,3400000,,3400011,,,4450000,7818184,8000000,14055163,56.91858704,,,,
1999-0052-FRA,1999,0052,,Natural,Hydrological,Landslide,Avalanche,,,France,FRA,Western Europe,Europe,Hameaux de Montroc et Du Tour,,,,,No,No,,,,,,,,1999,2,9,1999,2,9,11,,200,60,260,,,,,10790,18957,56.91858704,,,,
1999-0611-FRA,1999,0611,,Natural,Meteorological,Storm,Extra-tropical storm,,Martin,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1999,12,27,1999,12,28,8,,,,,2450000,4304394,,,4000000,7027581,56.91858704,,,,
1999-0642-FRA,1999,0642,,Natural,Climatological,Wildfire,Forest fire,,,France,FRA,Western Europe,Europe,Alpilles,,,,,,,,24,Km2,,,,,1999,7,22,1999,7,22,,,,6,6,,,,,,,56.91858704,,,,
1999-0021-FRA,1999,0021,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,Hyeres,,,,,,,,7,Km2,,,,,1999,1,18,1999,1,18,,,900,200,1100,,,,,,,56.91858704,,,,
